"group","name","palette"
"corals","exhibit a-line","#FDBEAD"
"corals","peach side babe","#F8B2B0"
"corals","tart deco","#FABDBA"
"corals","claim to fame","#E48F82"
"corals","looks to thrill","#FCA890"
"corals","signature smile","#FC9CA2"
"corals","cute as a button","#F79EAC"
"corals","guilty pleasures","#F7A9B0"
"corals","strike a rose","#FA7AA4"
"corals","on the list","#FC938E"
"corals","sizzling hot","#FB6673"
"corals","style stunner","#FB6E4F"
"corals","come here!","#F99898"
"corals","ole caliente","#F68C92"
"corals","sunshine state of mind","#F09D8E"
"corals","at the helm","#D98678"
"corals","chubby cheeks","#DB8E89"
"corals","soles on fire","#FAA640"
"corals","too too hot","#F38885"
"corals","meet me at sunset","#F18678"
"corals","peach daiquiri","#F18D99"
"corals","flashed","#F9404F"
"corals","clambake","#FA7B78"
"corals","e-nuf is e-nuf","#E98090"
"reds","you're so cupid","#EA8295"
"reds","glazed days","#E63F9A"
"reds","game theory","#92575C"
"reds","ace of shades","#75474A"
"reds","geranium","#F58475"
"reds","fifth avenue","#E7746D"
"reds","lacquered up","#E26F77"
"reds","forever yummy","#C36B70"
"reds","bold boundaries","#F16690"
"reds","lady in red","#D83F50"
"reds","cherry on top","#DC688D"
"reds","exotic liras","#E26C8D"
"reds","be cherry!","#DA708B"
"reds","she's pampered","#DC7087"
"reds","beauty marked","#E8697A"
"reds","russian roulette","#EE7E74"
"reds","living legend","#F26A85"
"reds","plumberry","#B07889"
"reds","rock the runway","#DC3F48"
"reds","really red","#D5716F"
"reds","fishnet stockings","#C06F77"
"reds","ring in the bling","#D68291"
"reds","drop the gown","#B34266"
"reds","#essielove","#B14B55"
"reds","a-list","#EC9696"
"reds","roses are red","#B44647"
"reds","limited addiction","#C97674"
"reds","with the band","#C27A7C"
"reds","forever family","#CE88A3"
"reds","scarlet starlet","#A64043"
"reds","scarlett o'hara","#B8747A"
"reds","nailed it!","#B4818D"
"reds","aperitif","#E76C6B"
"reds","bordeaux","#8C7274"
"reds","rue de la ruby","#B06473"
"reds","hear me aurora","#BB7B90"
"reds","bubbles only","#9D3F51"
"reds","spiked with style","#744040"
"reds","gala-vanting","#6F3F4B"
"reds","berry naughty","#946B6B"
"reds","wrapped in rubies","#A17276"
"reds","paint the gown red","#B05E64"
"reds","good knight","#5F3F41"
"reds","wicked","#837778"
"purples","go ginza","#DDD4E4"
"purples","you're a gem","#A6857F"
"purples","hold'em tight","#8C5799"
"purples","sweet not sour","#7F4C76"
"purples","in my element","#C498AF"
"purples","style in excess","#D2CCD7"
"purples","what's the stitch","#E1D3E2"
"purples","lilacism","#DBCDE7"
"purples","nice is nice","#DED0E1"
"purples","saved by the belle","#F6CBDD"
"purples","cascade cool","#F0C3DF"
"purples","madison ave-hue","#F19FC3"
"purples","splash of grenadine","#E1A9CA"
"purples","it takes a west village","#DAB0C1"
"purples","dress call","#E4C6E5"
"purples","play date","#E2BBDD"
"purples","world is your oyster","#B8A6C9"
"purples","labels only","#A9A8CA"
"purples","shades on","#BCADD3"
"purples","girly grunge","#B7ACBA"
"purples","just the way you arctic","#C9BDC7"
"purples","big spender","#DC67AD"
"purples","flowerista","#C286B0"
"purples","knee-high life","#B06B83"
"purples","jamaica me crazy","#C375A0"
"purples","bahama mama","#927484"
"purples","carry on","#927579"
"purples","making harmony","#927584"
"purples","drive-in &amp; dine","#D4BBC3"
"purples","new year, new hue","#A8708C"
"purples","beau-tie","#967EB2"
"purples","tangoed in love","#8B5AB0"
"purples","set the seam","#CB88A5"
"purples","berry in love","#B27490"
"purples","graced in garnet","#9F6D83"
"purples","sights on nightlights","#897D97"
"purples","turn 'n' pose","#7C586C"
"purples","in the lobby","#997685"
"purples","model clicks","#64404C"
"purples","sole mate","#92747B"
"purples","sexy divide","#8B73A4"
"purples","hazy daze","#898195"
"purples","kimono-over","#8C7A92"
"purples","luxedo","#887983"
"purples","amethyst noir","#7D6C79"
"blues","wild card","#3F78B7"
"blues","ooh la lolly","#408BB0"
"blues","find me an oasis","#F0F5F9"
"blues","perfect posture","#D8D9E7"
"blues","at sea level","#D6E2E2"
"blues","once upon a time","#B0AEBE"
"blues","getting intricate","#DBECE9"
"blues","dye-mentions","#CEEAE9"
"blues","bikini so teeny","#BBC7EA"
"blues","tiers of joy","#C4B4D2"
"blues","salt water happy","#C3D2E6"
"blues","lapiz of luxury","#B5C5DD"
"blues","as if!","#AEB7C9"
"blues","first view","#B6D7DB"
"blues","in the cab-ana","#A9D8DB"
"blues","take the lead","#8AC3DE"
"blues","strut your stuff","#75C5EA"
"blues","garden variety","#90C1C8"
"blues","glow with the flow","#A7BAD0"
"blues","blue-tiful horizon","#B5B1CE"
"blues","pret-a-surfer","#A7B1DB"
"blues","butler please","#8899F0"
"blues","mezmerised","#6F8DCF"
"blues","all access pass","#8F88C1"
"blues","find me a mannequin","#8382B5"
"blues","loot the booty","#707D9D"
"blues","cause &amp; reflect","#69818C"
"blues","anchor down","#7B8395"
"blues","aruba blue","#6C82A9"
"blues","front page worthy","#656987"
"blues","no more film","#868299"
"blues","on your mistletoes","#79838D"
"blues","bell-bottom blues","#738B9B"
"blues","off duty style","#739AA0"
"blues","dressed to the nineties ","#6F8A96"
"blues","surrounded by studs","#4B5B6A"
"blues","after school boy blazer","#6E717E"
"blues","style cartel","#7079A5"
"blues","caviar bar","#3F586E"
"blues","booties on broadway","#747E90"
"blues","bobbing for baubles","#8B8F9E"
"blues","midnight cami","#74789D"
"greens","chillato","#F2F6D8"
"greens","fashion playground","#E2F2E5"
"greens","reign check","#939C9F"
"greens","but first, candy","#418A54"
"greens","sweater weather","#738364"
"greens","sage you love me","#D9E0DB"
"greens","zip me up","#DBE4CE"
"greens","mint candy apple","#D3E8DE"
"greens","empower-mint","#A8D0C6"
"greens","turquoise &amp; caicos","#B0E8E2"
"greens","udon know me","#AEC4C9"
"greens","bon boy-age","#BAD7D3"
"greens","take a walk","#DFE1B8"
"greens","beauty nap","#AAC1A4"
"greens","exposed","#BCB5AB"
"greens","spellbound","#9F9F98"
"greens","where's my chauffeur?","#A6D9DA"
"greens","first timer","#B1EED6"
"greens","jade to measure","#ABCFBC"
"greens","mojito madness","#A2D2AF"
"greens","naughty nautical","#72D6D2"
"greens","stripes &amp; sails","#4B8484"
"greens","trophy wife","#6F9299"
"greens","go overboard","#688A95"
"greens","off tropic","#708683"
"greens","wrap party","#6D8073"
"yellows","avant-garment","#FEF2A9"
"yellows","hay there","#FCDEA6"
"yellows","fall for nyc","#F3BC8C"
"yellows","sweet supply","#FCE241"
"grays","press pause","#E1E1E1"
"grays","easily suede","#A7938E"
"grays","stop, look &amp; glisten","#9C8D85"
"grays","closing night","#D8DCDF"
"grays","cocktail bling","#D2D4DE"
