"colors","names","r","g","b"
"#DA89B4","Lara",218,137,180
"#EF9ABB","Ellie",239,154,187
"#F29CC1","Dacey",242,156,193
"#E88CB2","Nana",232,140,178
"#DF87BF","Starla",223,135,191
"#D492B2","Whitney",212,146,178
"#E791B3","Allison",231,145,179
"#D385A4","Dana",211,133,164
"#DF83A2","Yana",223,131,162
"#E28AA6","Mae",226,138,166
"#D891B4","Taryn",216,145,180
"#BF92A0","Miranda - PixieDust - Textured",191,146,160
"#E1ADBC","Maryann",225,173,188
"#D88AA4","Renee",216,138,164
"#E58AA3","Brynn",229,138,163
"#ED9CBD","Rooney",237,156,189
"#E593B3","Paris",229,147,179
"#DF8FB6","Layla",223,143,182
"#CD85A4","Paloma",205,133,164
"#EA98AE","Mandy",234,152,174
"#E286A2","Fallon",226,134,162
"#D64473","Rosa",214,68,115
"#DC88A3","Kimber",220,136,163
"#E198B1","Azalea",225,152,177
"#E2AABD","Cadence",226,170,189
"#D48AA2","Monroe",212,138,162
"#E2A6B4","Zooey - PixieDust - Textured",226,166,180
"#E6BAC7","Arielle",230,186,199
"#E1C1C9","Ginni",225,193,201
"#E5B9CA","Jenna",229,185,202
"#F9CEE1","Kitridge",249,206,225
"#E8B9D0","Shelby",232,185,208
"#EED1E7","Libby",238,209,231
"#EAD9E2","Heather",234,217,226
"#FBE2EE","Jordan",251,226,238
"#ECC8D4","Caresse",236,200,212
"#F2C1E3","Princess",242,193,227
"#F8BCCD","Laurel",248,188,205
"#E6BAC9","Barbie",230,186,201
"#FBB7CB","Sweet",251,183,203
"#ECB3C3","Flora",236,179,195
"#CEAAB8","Kat",206,170,184
"#DAADB8","Ruthie",218,173,184
"#D6B7BE","Zanna",214,183,190
"#FC94AD","Sonja",252,148,173
"#EF829A","Dixie",239,130,154
"#E791A4","Maxine",231,145,164
"#FC9AA9","Virginia",252,154,169
"#ED95A0","Gilda",237,149,160
"#F99DA3","Journey",249,157,163
"#E28489","Haley",226,132,137
"#D8888C","Maura",216,136,140
"#D79592","Kara",215,149,146
"#F19693","Kylie",241,150,147
"#E88E88","Demetria",232,142,136
"#DF9591","Myrta",223,149,145
"#D79895","Rica",215,152,149
"#F2888C","Aphrodite",242,136,140
"#F2A0A2","Marcy",242,160,162
"#D5868A","Tamsen",213,134,138
"#CA888B","Nidhi",202,136,139
"#C88287","Sooki",200,130,135
"#E78B98","Marigold",231,139,152
"#D9868E","Hannah",217,134,142
"#CB8A8B","Gia",203,138,139
"#E48C90","Ming",228,140,144
"#E25F79","America",226,95,121
"#D75469","Margaret",215,84,105
"#CE3E50","Tanya",206,62,80
"#CB6B7A","Briar",203,107,122
"#D38E9B","LC",211,142,155
"#CC8593","Carmen",204,133,147
"#DF8B99","Karen",223,139,153
"#B44B5E","Rashida",180,75,94
"#C6868F","Livingston",198,134,143
"#E27C80","Kimmy",226,124,128
"#B68B87","Channing",182,139,135
"#CF8384","Ember",207,131,132
"#DA8F9C","Robbie",218,143,156
"#D07C89","Amal - MatteVelvet",208,124,137
"#D68697","Ash",214,134,151
"#CC8B9D","Max",204,139,157
"#BC7A84","Sheri",188,122,132
"#BA8892","Yvonne",186,136,146
"#C47F91","Dita",196,127,145
"#DD85A0","Liza",221,133,160
"#C38597","Asia",195,133,151
"#B98388","Rekha",185,131,136
"#B1848E","Diana",177,132,142
"#BA8A8E","Alix",186,138,142
"#B57E80","Janel",181,126,128
"#A68685","Delilah",166,134,133
"#B18585","Jade",177,133,133
"#B47B83","Elisa",180,123,131
"#AF7779","Courtney",175,119,121
"#B68692","Chyna PixieDust - Textured",182,134,146
"#AA868B","Isla",170,134,139
"#B2838B","Oswin - Ultra PixieDust - Textured",178,131,139
"#A87C80","India",168,124,128
"#A07F81","Pepper",160,127,129
"#B3838F","Dakota",179,131,143
"#BF8593","Alyssa",191,133,147
"#C2869A","Gweneth",194,134,154
"#AE808E","Andi",174,128,142
"#C78DA6","Bobbi",199,141,166
"#B07682","Vanessa",176,118,130
"#C3879F","Donnie",195,135,159
"#B385A0","Mason",179,133,160
"#B97499","Ciara",185,116,153
"#B67B9C","Alegra",182,123,156
"#BD8AAC","Anaka",189,138,172
"#C58DB4","Liv",197,141,180
"#C085AC","Reagan",192,133,172
"#C28DAF","Audrina",194,141,175
"#C58AC0","Charisma",197,138,192
"#E2B3CC","Leisel",226,179,204
"#D49FC2","Binx",212,159,194
"#BF889E","Kissy",191,136,158
"#D399A7","Everly",211,153,167
"#AA7C8A","Reva",170,124,138
"#A97F82","Riley",169,127,130
"#A57A86","Sarah",165,122,134
"#AE8598","Quinn",174,133,152
"#C996AA","Padma",201,150,170
"#BB93A8","Kendra",187,147,168
"#BA839B","Britta",186,131,155
"#A88594","Blaze",168,133,148
"#A0828A","Arianna Ultra PixieDust - Textured",160,130,138
"#A3868E","Rachael",163,134,142
"#938885","Elaine",147,136,133
"#A08290","Noir Ultra PixieDust - Textured",160,130,144
"#805966","Etta",128,89,102
"#A08C8E","Blair",160,140,142
"#644E54","Sedona",100,78,84
"#92868B","Jem",146,134,139
"#8E8489","Payton",142,132,137
"#9B7E89","Teigen",155,126,137
"#A6879B","Lorna - PixieDust - Textured",166,135,155
"#C4A1AA","Joy",196,161,170
"#C4B2B6","Adina",196,178,182
"#B398A3","Katherine",179,152,163
"#CE9EB5","Alia",206,158,181
"#C19AAC","Reece",193,154,172
"#D2A7C3","Rory",210,167,195
"#AC8CAB","Carly",172,140,171
"#BD9FBC","Dannii",189,159,188
"#C1A7CC","Stevie - PixieDust - Textured",193,167,204
"#D8BDCF","Arlo Magical PixieDust - Textured",216,189,207
"#E2C5DE","Leslie",226,197,222
"#E1C9E7","Haruko",225,201,231
"#CFB9D8","Delia",207,185,216
"#C0A7CA","Tina",192,167,202
